GeneID,CH323,CH572,CH300,CH269,CH290,CH150,CH704,CH188B,CH274,CH198,CH315,CH235,CH339,CH308,CH172A,CH188A,CH328,CH727,CH295,CH288,CH722,CH172B
ENST00000305510.CNNM3.110,118.647,180.019,48.4743,126.81,197.144,78.291,307.544,127.235,111.401,161.793,83.0481,47,65,123.108,461.48,239.218,81.6563,202,219.758,201.951,310.375,110.159
ENST00000490437.SRI.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000452790.BZW1.2,694.388,876,318.437,401.912,786,573.835,1000,1485,821,693,356.665,109.554,243.05,363.506,1360.25,2069,282.417,1253,765.429,737,1139,417.999
ENST00000346219.DLEC1.20,79.7616,28.7639,68.9978,34.7263,203.651,48.5164,196.787,100.159,107.523,14.4924,0,0,0.000698625,0,148.146,95.73,32.5676,163.629,83.1792,144.876,268.681,76.8746
ENST00000673641.COL13A1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000216254.ACO2.44,247.059,338.47,176.025,157.242,230.727,422.629,297.108,353.437,143.953,286.406,131.31,399.047,511.27,344.636,941.224,579.873,444.505,472.164,357.502,330.888,374.938,161.793
ENST00000376112.ID1.30,0,9,8,0,6,0,4,0,0,1.31687,2,0,1,0,8,7,7.32598,3,7,0,12,6
ENST00000443003.RPSA.20,5.58855,0,0,0,3.11458,0,0,5.85531,3.32552,0,3.44658,0,0,0,0,15.9776,0,5.66495,0,2.76502,2.71102,3.04441
ENST00000638091.CACNB4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385153,0,0,0
ENST00000376811.NMRK1.8,0,0,0,0,0,5.35716,6.1501,0,28.9783,0,0,0,0,0,0,5.81297,0,0,0,10.125,0,8.35561
ENST00000643499.CEP78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000263388.NOTCH3.82,5,15,6,8,8,18,14,4,5,9,4,1,1,0,32,12,0,11,8,51,15,6
ENST00000397122.TEAD4.42,0,0,0,1,2.41687,1.20296,0,0,0,0,0,0,0,0,0,0,6,0,1.34871,0,0,0
ENST00000351035.ST3GAL3.5,0,2.49514,0,0,0,0,0,0,0,0,0.000148398,0,0,0,0,0,1.52925,0,0,0,0,0
ENST00000275461.FERD3L.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000532243.ST3GAL4.53,238.362,100.233,33.9376,229.017,158.377,91.8925,136.732,216.033,109.405,233.991,126.82,125.406,39.8026,134.472,626.502,256.382,26.1285,96.9332,117.572,133.545,153.786,42.4883
ENST00000438075.LST1.1,30.1145,46.922,38.0384,29.6392,74.4663,16.2166,50.0345,58.1794,19.5654,57.7821,4.08954,2.31774,3.42885,15.2263,98.9563,102.692,0,40.2829,28.3927,26.2125,114.3,24.0816
