,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MAP3K20,1243.1831904197277,1.1828343746010117,0.3931863405160236,3.743378233402356,0.00018156260817464367,0.015902231314881745
ATP5PF,451.73717794964915,1.1794670327051386,0.38891475014340604,3.7658940617339454,0.00016595415236349083,0.015902231314881745
MAD2L1,99.57822113233122,1.17810259021304,0.4012534495820752,3.7032730018779607,0.0002128356276301725,0.015902231314881745
JPT1,504.60609262623194,1.1724178907574077,0.40739584567478226,3.645881956346754,0.0002664762864495385,0.015902231314881745
HK1,2818.5911998328183,1.166748230550892,0.3890093363204745,3.72997189443853,0.00019150113083266917,0.015902231314881745
CHMP5,1309.953484625678,1.1665063638778062,0.3837125409451733,3.7661177260790164,0.00016580563376008086,0.015902231314881745
SMC2,940.350933211447,1.1587861975159885,0.4002167499018478,3.656301615466374,0.00025588026694458584,0.015902231314881745
WRAP53,317.5237484637782,1.1522815688375203,0.4000321538328065,3.6466858022356874,0.00026564441429919585,0.015902231314881745
UBE2L6,216.94854059644496,1.1478211361025075,0.3939003293612839,3.674744584802689,0.00023808747191123993,0.015902231314881745
SELENOK,632.8201627904485,1.1319639229671854,0.37689993250950976,3.7377527082387028,0.0001856724327399719,0.015902231314881745
VDAC3,13263.651935399568,1.1033223470931273,0.3824087054915648,3.621425336596523,0.0002929843652263482,0.015902231314881745
ACO2,857.6104479481594,1.1028050061566974,0.37976437296409526,3.6573436434140985,0.0002548426181506251,0.015902231314881745
RNPS1,1109.3326056020549,1.0997651777477253,0.3789612994552097,3.654946882006917,0.00025723523147058,0.015902231314881745
RBBP4,2310.265584409487,1.0959871955307015,0.3750959325401436,3.6684391959496527,0.00024403571405473052,0.015902231314881745
ZFAND3,1040.3962356936142,1.053303311575826,0.36555317822015865,3.6343287740235395,0.000278705277463285,0.015902231314881745
RRAGB,152.62985163073327,1.0494348757366005,0.3627558999801381,3.6543919441641113,0.00025779220401005577,0.015902231314881745
MOSPD1,461.5182416694112,1.0483868105102851,0.3588669307836322,3.6668069700237496,0.000245598047420532,0.015902231314881745
SOD1,1061.9430875335104,1.0237071646386984,0.3334108861351979,3.77641799354557,0.000159099908992744,0.015902231314881745
FUNDC2,470.82553077389446,1.0060548290577354,0.35115305355790266,3.618324852260401,0.00029651606494373667,0.015902231314881745
HSD17B10,287.3367648377533,1.0036701481886736,0.33472297444717664,3.723778535537894,0.00019626310663055079,0.015902231314881745
LAMTOR5,145.7347774199386,1.0002022294713293,0.34689440744924704,3.639600800821875,0.00027306103193967834,0.015902231314881745
H2AC11,443.5563451378196,1.1860936784229024,0.41865876604753777,3.6140090936882663,0.0003014984794713287,0.016034694133216832
SLC1A5,1735.3700437388295,1.1711897402174187,0.413041196052349,3.6109225090442867,0.00030510982098242253,0.01609265188024645
PTPRN,286.37285489054744,1.1478082681215225,0.4074121001105197,3.601034115264054,0.00031695397907950196,0.01639379578836379
ANP32E,484.8595674724553,1.1621725846246989,0.4137457233727524,3.5914301788994907,0.000328868286832947,0.016657439734665616
DNAJC8,650.8393936090858,1.1022867592876808,0.39127606128943343,3.592486509435611,0.0003275376159336827,0.016657439734665616
TSPAN33,4284.825436757847,1.348548108688018,0.4841736779688906,3.5864586633074356,0.0003351991708026533,0.01671282115673854
RABAC1,977.542560454993,1.0911831785697037,0.38778075833951914,3.587658659696071,0.00033366070103486053,0.01671282115673854
TMEM86B,209.54865322664264,1.3740914497523082,0.49957485214349445,3.571361633843604,0.0003551301474994293,0.01687357799956211
RHAG,273.58061523742845,1.2038896795173135,0.4336540079804203,3.5752392608895582,0.0003499077497461579,0.01687357799956211
EIF2AK1,10346.60252475367,1.1931097933173163,0.4263604979849229,3.569422897511766,0.0003577684921290724,0.01687357799956211
CDKN2D,2387.2422640521518,1.1189772381859355,0.40308146708617165,3.558669523069803,0.00037273817810756565,0.01687357799956211
COPZ1,1784.7536491925325,1.1142053915272447,0.4015973410054357,3.5596722673965053,0.00037131789495870846,0.01687357799956211
GPR19,195.20977359767153,1.1135406853283032,0.4023096119267019,3.5614671086892793,0.00036878831353509117,0.01687357799956211
C6orf226,3952.3857709661415,1.1102989201372202,0.39744340965734254,3.5723989788978603,0.0003537259519042608,0.01687357799956211
ISCA1,8831.936997229253,1.103180391291603,0.39494622285192216,3.5567729086295357,0.00037543843245656846,0.01687357799956211
AP2B1,4232.039988377417,1.0591844774061796,0.37787122079967744,3.5733409104403258,0.00035245541208978086,0.01687357799956211
FRRS1,355.93280446109554,1.1722613054816073,0.42798837683728913,3.543862959455686,0.00039431014413958784,0.01711896149591054
PSMC3,1170.0095006498343,1.168638138704491,0.4245579246537522,3.5499472296412415,0.000385308378897103,0.01711896149591054
COX7B,24292.331966633825,1.1491187848033106,0.4117447726496098,3.5466562225683487,0.00039015334479282246,0.01711896149591054
UROS,2650.5102772087657,1.257314487320962,0.46087073234606685,3.5384943261213944,0.0004024159296789087,0.01723636552490467
TFDP2,4101.715372225709,1.1083962948814607,0.4031003987349551,3.539574841243419,0.0004007721151275075,0.01723636552490467
GPD2,3656.230010626673,1.3972500519697315,0.5187756555200076,3.522876801744735,0.00042688974568645525,0.017332999817300954
SLC4A1,127489.88020469516,1.2730453716036436,0.4745252644208618,3.4913920820251865,0.0004805105392611015,0.017332999817300954
KCND1,444.2697929792524,1.2662198076311235,0.47665164633891705,3.4914853705131494,0.0004803427701905638,0.017332999817300954
CCDC34,1757.4561884309956,1.2651454102127884,0.4713440237747086,3.502826042990715,0.0004603500006708184,0.017332999817300954
RNF123,6512.094380555413,1.2532294028565882,0.46881354087844523,3.4940428301365163,0.00047576468477417106,0.017332999817300954
ATOX1,200.19255861370863,1.2019355732957098,0.4441020527915481,3.5258945692697012,0.00042205495247948997,0.017332999817300954
ERMAP,212.81390476445594,1.187005541903823,0.43842834206990744,3.5243533856602274,0.00042451767198098476,0.017332999817300954
CALR,7011.468422609891,1.167162774699148,0.4341341554817834,3.5003015805757096,0.00046473206748143383,0.017332999817300954
SLC25A11,626.5778221312783,1.1576693625515653,0.4262055533961463,3.5238428201604246,0.0004253364796873075,0.017332999817300954
CCNI,12161.808469410062,1.1352386693380947,0.4171583560299384,3.520459143314733,0.00043080035630307554,0.017332999817300954
SYAP1,1839.4986088918108,1.1153338156769164,0.4143363671757704,3.4992436365401556,0.00046658003746548045,0.017332999817300954
CTSD,6012.5675317243995,1.1090966191910892,0.4023574229247274,3.5246781506862774,0.00042399760365422585,0.017332999817300954
RPL35,4187.251801601777,1.1057299640040146,0.4068818095730631,3.5149407130718546,0.0004398521723876828,0.017332999817300954
ST13,5142.100713376078,1.0941781070528345,0.40273072192314385,3.5100254979664447,0.00044806372545682364,0.017332999817300954
UBA52,185785.51145886004,1.076416363489389,0.3895597111159016,3.5265661517468097,0.00042098598263971506,0.017332999817300954
IFT22,875.2724578185031,1.0600451834953704,0.394964232049782,3.488273986272328,0.0004861496344871311,0.017332999817300954
BRCC3,706.5028695012434,1.0507808740976619,0.3877503275920055,3.5067705383114856,0.0004535800978690551,0.017332999817300954
COPG1,3736.542501044274,1.0502257443668523,0.3897225510894663,3.4923498873577854,0.0004787906289516686,0.017332999817300954
RPS14,14269.025146772712,1.0400978256744051,0.37884054323090577,3.5082030919297993,0.0004511445015718571,0.017332999817300954
CALCOCO2,387.78459381789446,1.035673065913178,0.380989167561693,3.5129362596052855,0.0004431837815577441,0.017332999817300954
COX6B1,868.5990253567936,1.0294912772519438,0.3787040988958588,3.509703763696129,0.0004486061858469457,0.017332999817300954
REEP1,233.93831710879584,1.0275339630563065,0.37414867877616587,3.5351426475733874,0.00040755508169489194,0.017332999817300954
CLIC2,292.23609951894565,1.009919150486018,0.37161175349908676,3.5091313544016196,0.0004495728127235088,0.017332999817300954
NDUFA4,856.9139006188616,1.0042459543258493,0.37132856553253185,3.4961125448825077,0.0004720895393568063,0.017332999817300954
GNLY,647.627378962533,1.9540263489998437,0.7730991562846365,3.4385610747796593,0.0005848146017047324,0.01738630123487283
DCN,258.7732522348063,1.536015758402355,0.6057564983041378,3.428584980862056,0.0006067365517698583,0.01738630123487283
RSAD2,221.8556406126264,1.3120194340293954,0.5041020419317861,3.456486896772481,0.0005472658140825371,0.01738630123487283
SLC22A4,393.52335715319776,1.2559155306621324,0.4755482535588478,3.4791660673721547,0.0005029767911431454,0.01738630123487283
AP2A1,15168.05971377831,1.2417018209054973,0.47918433922163717,3.4237316861960108,0.0006176757421547417,0.01738630123487283
DENND4A,51455.98026832212,1.1827846650901652,0.43977328508390817,3.4664410653377087,0.0005273973405062793,0.01738630123487283
TMEM98,92.11406280295733,1.1763708394148238,0.4600324072955877,3.4234089500575893,0.0006184096490623837,0.01738630123487283
RIOK3,35761.71198531916,1.1492003869143341,0.4386170135881908,3.437033245563009,0.0005881234104754002,0.01738630123487283
AZIN1,18575.623272504316,1.1476998025593257,0.43963704658252584,3.433156534070634,0.0005965975530666251,0.01738630123487283
MBNL3,209.9221802987999,1.144822863148418,0.43146631521429435,3.481978082200593,0.0004977244292934562,0.01738630123487283
SKP1,9572.97412963467,1.1399182681876066,0.434749346278667,3.440292698777143,0.0005810853920601141,0.01738630123487283
RAD23A,5057.27473338127,1.1395301901740251,0.4346665616270509,3.449785354706702,0.000561032443091447,0.01738630123487283
NDUFV1,2280.676535888268,1.1348009727964499,0.43200301269804575,3.4459729695321926,0.0005690072719204604,0.01738630123487283
GABARAP,9947.333534480289,1.1194689187268325,0.42051236562938166,3.469173191811474,0.000522062790951094,0.01738630123487283
GYPC,2547.6404154369775,1.0678824245042775,0.4022192187838754,3.4601985653584344,0.0005397771941637869,0.01738630123487283
GLO1,290.67847792787927,1.062231384178024,0.4012480142680157,3.4645516390347475,0.0005311161601582234,0.01738630123487283
TBL1XR1,3964.4277454210196,1.05985398142129,0.40251300942868573,3.44895456920047,0.0005627613753732884,0.01738630123487283
PCBP1,2988.640622986551,1.047466478042606,0.38911325405581315,3.478871882600002,0.0005035292536105921,0.01738630123487283
GSTA4,1090.4669211172238,1.0402822327761667,0.39406284896938,3.4525283443093433,0.0005553591260191214,0.01738630123487283
RPS9,10355.315030753021,1.0384698587730035,0.39202798859834775,3.4516283518384565,0.0005572146608124135,0.01738630123487283
PCK2,1190.9541287877616,1.0372389787557192,0.3963187651063236,3.433993491449383,0.0005947584767828257,0.01738630123487283
RB1,4853.879069387011,1.0356725821891732,0.3955859161032513,3.4285917875103387,0.0006067213371835167,0.01738630123487283
UQCRH,2971.4844117143766,1.026094488075958,0.3880275623664424,3.4420188496489987,0.000577390014460495,0.01738630123487283
PTP4A2,4309.504330273399,1.0063833201663568,0.3808823291506581,3.447995777596095,0.0005647628661673422,0.01738630123487283
CAT,2330.2423648146932,1.293277748192423,0.5053844017324021,3.421080728017365,0.0006237281494412681,0.017458916884799003
CLEC3B,1613.9354491962126,1.4079105190251249,0.5572742470537503,3.4075989473909347,0.0006553714218870907,0.01779074179084121
RANBP10,1806.378624255798,1.171655728746207,0.45590043023929266,3.4147413542860185,0.0006384260380836533,0.01779074179084121
GATA1,2422.950218557683,1.156347658962812,0.4525264876294146,3.4056009055606116,0.0006601861124451059,0.01779074179084121
SLC46A3,10146.86386481472,1.09924606790255,0.4250527229106385,3.407096522329037,0.0006565790352253872,0.01779074179084121
FBXO9,2485.5972358771996,1.0916179347061865,0.4231320764324471,3.405404569545885,0.0006606609947755,0.01779074179084121
ADD2,2409.974094619033,1.2667858586858365,0.5061514060440508,3.3800177899049135,0.000724811381772882,0.017797310621214906
PRXL2A,39908.791246641464,1.134629139071914,0.44406007635783923,3.3876389700432092,0.000704969931535561,0.017797310621214906
RNASEH2C,4107.46059775067,1.129373064473207,0.4427067414968938,3.3955709399461025,0.0006848562392653893,0.017797310621214906
KEL,4821.775342331379,1.1260160172622304,0.44450163433842194,3.386147771063233,0.0007088120428066283,0.017797310621214906
DCUN1D1,13718.72815412829,1.0595526645219273,0.41450226489231756,3.3927205375191245,0.0006920220057133283,0.017797310621214906
PSMD4,3013.681507628415,1.0519381300526682,0.40977871952491524,3.4011539046261383,0.0006710203762593032,0.017797310621214906
MPC2,13805.357758207825,1.0469224913384396,0.4125795777107937,3.3778959757221783,0.000730427060968795,0.017797310621214906
HMOX2,2238.497442520612,1.0444383550812104,0.41136915912819744,3.3767709460972477,0.000733420979846368,0.017797310621214906
SLC43A1,1599.3779112471423,1.0353428714458917,0.4032743588097874,3.4003188986500423,0.0006730730512158094,0.017797310621214906
ZMAT5,123.65242106854664,1.035021156494014,0.4094901480590573,3.3833960847677185,0.0007159529558502641,0.017797310621214906
COX5B,1521.4717574772733,1.027938026351458,0.404361368282117,3.3815962207789387,0.0007206598878900179,0.017797310621214906
ACSS1,5169.350821313094,1.0196241714800085,0.40051371609694797,3.3768354266992215,0.0007332490771698815,0.017797310621214906
AP2S1,481.9470406162909,1.0142868806333565,0.3963717837324364,3.394206326596615,0.0006882781580945682,0.017797310621214906
ST3GAL5,501.6416517041422,1.0585773579900017,0.41943761401695623,3.3738535193701886,0.0007412379985950623,0.017918867072097302
NFIX,679.2522528604986,1.0794827464018102,0.42907553212922206,3.3720000856247516,0.0007462442519470877,0.01797181439972194
RAB31,214.19220920791204,1.1368564968105712,0.4557315103160612,3.369482127986515,0.0007530957475936237,0.01800096277581463
BSG,3136.3429760345234,1.050898706805303,0.41791340389325327,3.364090660260958,0.0007679631162054833,0.018132501116961804
ZFAND4,467.1587602023613,1.0983205372515585,0.43912266290264296,3.3607382289041055,0.0007773446115111282,0.018239019524500074
GLRB,702.761213063979,1.2072548464933268,0.48925147600324,3.351511483091654,0.0008037170568611015,0.018351586427172592
DMTN,4349.563094284518,1.1454573900166551,0.46061746704623274,3.356357579444441,0.0007897638545225579,0.018351586427172592
WBP2,10206.590821451855,1.1049527964620451,0.4391523242963766,3.3499353741321634,0.0008083041676272834,0.018351586427172592
PAQR5,2699.4088048094613,1.049811404015972,0.42236277433296526,3.344024212243856,0.0008257253060532787,0.018351586427172592
RGS22,1806.0891665340725,1.0449522538056446,0.42140199404454926,3.3403339175217748,0.0008367771310415582,0.018351586427172592
TMBIM6,8248.77749372846,1.025444834958577,0.40851297882838683,3.356441923814809,0.0007895230074090418,0.018351586427172592
TPT1,125928.85764470378,1.0242027540114698,0.39823714930872495,3.353859889284897,0.0007969270462334606,0.018351586427172592
NAA80,612.0386954834715,1.087597424691879,0.441117309793043,3.3382407491360038,0.0008431066530693847,0.018412388113116747
RPLP0,29283.939615098916,1.110615756718288,0.44702143186992144,3.3290638311977854,0.0008713843112427575,0.018625536939098786
GOLPH3L,532.5264260663687,1.0813239114065154,0.44161707909833076,3.3265589865259844,0.0008792540817292049,0.018642523420584006
AP1B1,3049.213402791077,1.026110053939288,0.4193356257581799,3.3144656265682553,0.0009181846815341029,0.019025502069969624
PLEKHA6,82.90385266994183,1.147937526752323,0.47795950921134855,3.3120783592919274,0.0009260560344750558,0.019042677152504565
STRADB,43581.36448515041,1.1267437001212828,0.4560855761798426,3.307321142892576,0.0009419284034726927,0.019142906023715416
HYAL3,1966.7656634725172,1.116877772783232,0.4594569487225386,3.307382516938299,0.0009417220350766026,0.019142906023715416
ASIC4,142.49868227083897,1.1688954540934917,0.4904570733876451,3.300613618364718,0.0009647364239471413,0.019361471250410867
PLEK2,1064.194541233917,1.0073986414623943,0.41444959325791736,3.2992397357774688,0.000969470787972235,0.019363900756658326
CA2,2717.2487403510954,1.0821063332709722,0.4514967901884804,3.2886095694492634,0.0010068358588151516,0.019411438910644313
RPLP1,64823.32968267967,1.0605141798258495,0.4394514792262634,3.2932152069679566,0.0009904862897245916,0.019411438910644313
SRXN1,249.2226024218152,1.0387039471237918,0.4342124900086187,3.2858876003695907,0.0010166156767600447,0.019411438910644313
TRAK2,75165.42712158969,1.0157887310444358,0.40724901904514654,3.2920624042687723,0.000994555404298074,0.019411438910644313
TIMM17B,876.1194089971302,1.0129034491688422,0.41954359088873944,3.292431398777416,0.0009932512619305611,0.019411438910644313
GADD45A,2149.3827184748106,1.0126910525763313,0.42039103468907985,3.283568739905629,0.0010250164388729448,0.019411438910644313
DOP1B,3051.22596417065,1.141466500404931,0.484123062257848,3.262900839087596,0.0011027809855847863,0.01954985625000585
MAGIX,236.13618944025202,1.0603100667360015,0.44756525728897145,3.2736752442717,0.0010615854115027339,0.01954985625000585
PRDX2,12800.591994958177,1.0360480935692804,0.4363199626851494,3.2650112701530722,0.0010945972118776323,0.01954985625000585
TRPM6,2227.124280031091,1.0187681672594402,0.4274606075197799,3.2653233906415453,0.001093391657973157,0.01954985625000585
MTFR1,2949.650900300411,1.0773749923905842,0.45913880116781214,3.2540757519303556,0.0011376193996150235,0.019628533351003296
SPTB,9944.706542365502,1.1633808498291984,0.49984069102328726,3.2508163022302643,0.0011507418425345589,0.01971301746601801
CANX,6582.499160058559,1.0123131617314116,0.4303211440683395,3.247436837520545,0.0011644950775131291,0.01971301746601801
CALCOCO1,9593.639401226745,1.0807261119857499,0.46607061783600495,3.2351091974067843,0.0012159621706581971,0.019884824090032636
DYNLL1,3433.2946666480007,1.0349331887208613,0.4447631030752888,3.235593372698761,0.0012139017569628206,0.019884824090032636
MOB1B,5242.187989990075,1.0175687466504688,0.43647210949676746,3.234931138088829,0.0012167207162749288,0.019884824090032636
SLC24A1,458.7695671585837,1.3721793919147989,0.609768378078372,3.2274870367244377,0.0012488269945720928,0.02017730574537507
PHOSPHO1,3859.286386885663,1.180187750282188,0.5172336745917452,3.2245941387519004,0.0012615137304445854,0.020248908087534257
YBX3,9056.83098191738,1.0418713929198948,0.44838101005717323,3.2240498626291423,0.0012639138997479807,0.020248908087534257
XK,332.22312424664136,1.0257890893833086,0.44676734693315673,3.2194147369202293,0.001284525543305219,0.020248908087534257
PTGS2,98.27896525545809,-1.5353434169436928,0.7235457013308018,-3.212504255635267,0.0013158319906112048,0.020432213537909267
OR2W3,203.68280667436252,1.1060736566215232,0.4936904484877661,3.1977516442000136,0.0013850350822810149,0.020504227720352618
MXI1,27930.893605404555,1.0306773998210725,0.44550787111265705,3.2001467951286715,0.0013735760951375173,0.020504227720352618
ACSL1,6320.314530040281,1.0145148279087468,0.4449840683407071,3.200596809243589,0.001371432899855261,0.020504227720352618
SNX9,7590.230177577765,1.0002259786739385,0.4363494903210949,3.2055740647300155,0.0013479335217312569,0.020504227720352618
SMOX,3411.9312501747067,1.1403950175483515,0.505875409423418,3.1938906789176627,0.0014036926236250607,0.02056281663291646
ISCA2,508.32698780044575,1.0146474007833701,0.4483971141111891,3.1942016912255293,0.0014021811642543134,0.02056281663291646
NCEH1,6604.640611662895,1.1298316814977079,0.5140834305598957,3.1601320577540704,0.001576976451600832,0.020581045101208725
GCH1,9927.00056113472,1.088611545618203,0.4933836997678553,3.1645886049484946,0.0015530236753331745,0.020581045101208725
