"Site","Site_old","County","Country","Lon","Lat","Ind","Het_outside_ROH","Het_inc_ROH","Segments_in_ROH_%","Avg_length_of_ROH","Ho_variants","nightlight","broadleaf_woodland","all_woodland","arable","urban","woodland_dist","bio12","bio5","cmi"
"DE1","ARL","Devon","England",-3.987,51.147,"ARL01",0.0023655,0.0023403,0.237756,1666670,0.119216915063137,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL02",0.0022016,0.0022075,0.237756,1666670,0.119812404799444,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL03",0.002228,0.0022535,0.237756,1666670,0.131391348707015,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL04",0.0022912,0.0022852,0.190295,1333330,0.133356416129548,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL05",0.0022426,0.0022098,0.237756,1666670,0.152883735123589,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL06",0.0022338,0.0022299,0.237756,1666670,0.152653487276754,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL07",0.0021883,0.0021671,0.237756,1666670,0.114776932635978,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL08",0.0022113,0.0021993,0.237756,1666670,0.109660246941108,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"DE1","ARL","Devon","England",-3.987,51.147,"ARL09",0.0021592,0.0021377,0.237756,1666670,0.114729458917836,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49
"BR","ARN","Bristol","England",-2.565,51.442,"ARN01",0.0020898,0.0020834,0.237756,1666670,0.164651792089999,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN02",0.002058,0.0020558,0.237756,1666670,0.135046360356399,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN03",0.0022315,0.0022341,0.237756,1666670,0.121762074415365,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN04",0.0017614,0.0017373,0.142789,1500000,0.0912163960606867,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN05",0.0021639,0.0021577,0.237869,1666670,0.104886753217557,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN06",0.0022976,0.0022879,0.237756,1666670,0.155521905658697,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN07",0.0021291,0.0021557,0.237756,1666670,0.11162899091121,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN08",0.0021467,0.0021303,0.237756,1666670,0.108980813528462,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN09",0.0020461,0.0020287,0.237756,1666670,0.11944009946657,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN10",0.0020709,0.0020744,0.237756,1666670,0.106587367930604,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN11",0.0022019,0.0021947,0.237756,1666670,0.126418345705196,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
"BR","ARN","Bristol","England",-2.565,51.442,"ARN12",0.0023464,0.0023569,0.237869,1666670,0.153978357733927,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303
