"Site","Site_old","County","Country","Lon","Lat","nightlight","broadleaf_woodland","all_woodland","arable","urban","woodland_dist","bio12","bio5","cmi","Heterozygosity","Ho_variants","ROH_length","ROH_segments"
"DE1","ARL","Devon","England",-3.987,51.147,11.1078008344804,15.5833333333333,18,3.66666666666667,0.833333333333333,122.096409259808,1460.59997558594,17.3500003814697,49,0.002228,0.119812404799444,1666670,0.237756
"BR","ARN","Bristol","England",-2.565,51.442,253.576257978167,5.33333333333333,5.33333333333333,0.0833333333333333,83.8333333333333,229.816382604631,866.5,20.5499992370605,13.8999996185303,0.0021379,0.120601086940968,1666670,0.237756
"SO1","BAT","Somerset","England",-2.442,51.372,24.6603728546493,7.84615384615385,7.92307692307692,43.3846153846154,3.46153846153846,86.9637897880405,912.099975585938,20.1499996185303,5.69999980926514,0.002293,0.119875656483512,1666670,0.237756
"DE2","BRO","Devon","England",-3.543,50.337,10.9695167030607,4.53846153846154,4.69230769230769,7.76923076923077,1.23076923076923,153.901727194853,1085.19995117188,18.0499992370605,1.20000004768372,0.00223495,0.125785924842453,1416665,0.214071
"NW1","CAD","Gwynedd","Wales",-3.882,52.687,11.5190587856553,5.38461538461539,14.9230769230769,0.153846153846154,0.307692307692308,166.812463494731,2288.60009765625,18.1499996185303,123.099998474121,0.0020868,0.115169966724408,1666670,0.237756
"HE","CAN","Herefordshire","England",-2.52,52.089,13.6851358301499,8.27272727272727,8.45454545454546,51.3636363636364,1.90909090909091,380.731765797399,757.400024414062,20.4500007629395,-4.80000019073486,0.00224965,0.133377215635347,1666670,0.237756
"SO2","CAS","Somerset","England",-3.005,50.854,13.1406655311584,14.9090909090909,16.9090909090909,14.6363636363636,0.818181818181818,252.003086800527,1056.30004882812,20.25,16.2000007629395,0.0023146,0.134809271385511,1666670,0.237869
"SO3","CLA","Somerset","England",-2.651,51.441,117.339272654334,15.9230769230769,16.6153846153846,1.53846153846154,23.6923076923077,153.139950509363,1028.19995117188,20.1499996185303,15.3999996185303,0.00205895,0.137953935404531,1666670,0.237756
"NW2","CRA","Gwynedd","Wales",-4.087,53.021,9.69077182657578,9.84615384615385,9.84615384615385,0.461538461538462,1,106.964640071973,1814.5,17.75,86.1999969482422,0.0020877,0.107318861238952,1666670,0.237756
"SO4","HEN","Somerset","England",-2.641,50.934,177.910433525263,3.53846153846154,3.53846153846154,13.5384615384615,43.2307692307692,118.997136064198,908,20.4500007629395,12.1000003814697,0.00227,0.156717531396926,1666670,0.237756
"GL1","HID","Gloucestershire","England",-1.744,52.084,15.1064694381896,5.71428571428571,6.28571428571429,50.1428571428571,3.28571428571429,96.7584105165487,745.099975585938,20.0499992370605,-11.8000001907349,0.0021702,0.123797238419923,1666670,0.237756
"CO1","LAN","Cornwall","England",-4.694,50.437,20.2980115981329,26.2307692307692,28.3846153846154,30.0769230769231,3.15384615384615,364.34439584499,1198.40002441406,18.5499992370605,22.3999996185303,0.00206195,0.107506403585141,1666670,0.237756
"DE3","PAR","Devon","England",-3.689,50.595,16.4663432513966,22.5454545454545,23.0909090909091,4.36363636363636,17,128.760665732449,1078.19995117188,19.6499996185303,15.3999996185303,0.00236695,0.117816950597608,1666670,0.2378125
"CO2","PEN","Cornwall","England",-5.11,50.135,28.1968552869909,13.4615384615385,13.4615384615385,23.6923076923077,15.1538461538462,47.0393060151889,1121.40002441406,18.6499996185303,15.8000001907349,0.00206175,0.121085175329809,1583335,0.237756
"SW","PYS","Monmouthshire","Wales",-2.842,51.911,11.8726482610593,16.6923076923077,18.8461538461538,11.6153846153846,1.23076923076923,47.4512002892634,981.799987792969,20.1499996185303,19.2999992370605,0.00222935,0.134329209925686,1666670,0.237756
"GL2","SHE","Gloucestershire","England",-1.763,51.833,14.0451056873097,12,12.4615384615385,36.3076923076923,1.38461538461538,153.678905437033,809.099975585938,20.1499996185303,-3.20000004768372,0.0022268,0.143333333333333,1666670,0.237756
"CO3","STO","Cornwall","England",-4.543,50.873,15.9308873316821,13.7692307692308,14.6153846153846,16.9230769230769,1.23076923076923,319.469977304838,1118.80004882812,17.8500003814697,11.6999998092651,0.0021273,0.124885653865402,1666670,0.237756
"BE","THE","Berkshire","England",-2.783,51.215,13.2412010828654,0.181818181818182,0.181818181818182,2.27272727272727,3.54545454545455,504.02479158607,920.799987792969,20.1499996185303,2.59999990463257,0.0023951,0.128431946365861,1666670,0.237756
"SO5","WES","Somerset","England",-2.978,51.327,131.850094227564,2.33333333333333,2.33333333333333,8.83333333333333,39.9166666666667,14.2260179451935,954.400024414062,19.75,10.8999996185303,0.00225075,0.115091085949194,1666670,0.2378125
